streetname,gender
"Boulevard du Roi Albert II - Koning Albert II-laan",M
"Rue Masui - Masuistraat",M
"Place Masui - Masuiplein",M
"Rue Nicolas Defrêcheux - Nicolas Defrêcheuxstraat",M
"Avenue Emile Zola - Emile Zolalaan",M
"Rue Iwan Gilkin - Iwan Gilkinstraat",M
"Avenue Marcel Thiry - Marcel Thirylaan",M
"Avenue Emmanuel Mounier - Emmanuel Mounierlaan",M
"Avenue Hippocrate - Hippokrateslaan",M
"Rue Froissart - Froissartstraat",M
"Rue De Mot - De Motstraat",M
"Square Charles-Maurice Wiser - Charles-Maurice Wiserplein",M
"Place Jean-Baptiste Carnoy - Jean-Baptiste Carnoyplein",M
"Avenue Konrad Adenauer - Konrad Adenauerlaan",M
"Rue Martin V - Martinus V-straat",M
"Jardin Martin V - Martinus V-tuin",M
"Rue Van Hammée - Van Hamméestraat",M
"Rue Cornet de Grez - Cornet de Grezstraat",M
"Avenue Albert Giraud - Albert Giraudlaan",M
"Avenue Emile Verhaeren - Emile Verhaerenlaan",M
"Avenue Sleeckx - Sleeckxlaan",M
"Avenue Eugène Demolder - Eugène Demolderlaan",M
"Rue Auguste Snieders - Auguste Sniedersstraat",M
"Avenue Colonel Picquart - Kolonel Picquartlaan",M
"Avenue Georges Rodenbach - Georges Rodenbachlaan",M
"Avenue Jean Jaurès - Jean Jaurèslaan",M
"Avenue Émile Vandervelde - Émile Vanderveldelaan",M
"Rue Jan Blockx - Jan Blockxstraat",M
"Rue Nestor De Tière - Nestor De Tièrestraat",M
"Avenue Jean-François Debecker - Jean-François Debeckerlaan",M
"Avenue Zénobe Gramme - Zénobe Grammelaan",M
"Rue Joseph Aernaut - Joseph Aernautstraat",M
"Avenue Georges Maerckaert - Georges Maerckaertlaan",M
"Avenue Marcel Devienne - Marcel Deviennelaan",M
"Avenue Maurice Maeterlinck - Maurice Maeterlincklaan",M
"Rue Anatole France - Anatole Francestraat",M
"Avenue Georges Eekhoud - Georges Eekhoudlaan",M
"Rue Grégoire Leroy - Grégoire Leroystraat",M
"Rue Gustave Huberti - Gustave Hubertistraat",M
"Rue Sander Pierron - Sander Pierronstraat",M
"Rue Walckiers - Walckiersstraat",M
"Square François Riga - François Rigasquare",M
"Avenue Huart Hamoir - Huart Hamoirlaan",M
"Rue Van Droogenbroeck - Van Droogenbroeckstraat",M
"Rue Fernand Séverin - Fernand Séverinstraat",M
"Rue Charles Meert - Charles Meertstraat",M
"Rue Charles Van Lerberghe - Charles Van Lerberghestraat",M
"Rue Richard Vandevelde - Richard Vandeveldestraat",M
"Rue Guido Gezelle - Guido Gezellestraat",M
"Rue Achille Detienne - Achille Detiennestraat",M
"Rue Jonniaux - Jonniauxstraat",M
"Place Van Meyel - Van Meyelplein",M
"Avenue Albert Dumont - Albert Dumontlaan",M
"Place Ernest S'Jonghers - Ernest S'Jonghersplein",M
"Place Ministre Wauters - Minister Wautersplein",M
"Rue Hoorickx - Hoorickxstraat",M
"Avenue Guillaume Melckmans - Guillaume Melckmanslaan",M
"Clos Prométhée - Prometheusgaarde",M
"Rue Baron Lambert - Baron Lambertstraat",M
"Rue Georges Raeymaekers - Georges Raeymaekersstraat",M
"Rue Henri Jacobs - Henri Jacobsstraat",M
"Rue Stijn Streuvels - Stijn Streuvelsstraat",M
"Rue Docteur Elie Lambotte - Dokter Elie Lambottestraat",M
"Rue Willem Kuhnen - Willem Kuhnenstraat",M
"Avenue Docteur Dejase - Dokter Dejaselaan",M
"Rue Van Winghen - Van Winghenstraat",M
"Rue Alexandre Pierrard - Alexandre Pierrardstraat",M
"Avenue Waxweiler - Waxweilerlaan",M
"Rue Albert Meurice - Albert Meuricestraat",M
"Rue Antoine Gautier - Antoine Gautierstraat",M
"Rue Frémineur - Frémineurstraat",M
"Rue Théo Coopman - Théo Coopmanstraat",M
"Rue Jules Destrée - Jules Destréestraat",M
"Rue Alexandre De Craene - Alexandre De Craenestraat",M
"Rue Joseph Wauters - Joseph Wautersstraat",M
"Rue Hubert Krains - Hubert Krainsstraat",M
"Avenue Raymond Foucart - Raymond Foucartlaan",M
"Rue Charles Vanderstappen - Charles Vanderstappenstraat",M
"Rue Désiré Desmet - Désiré Desmetstraat",M
"Rue Herman Richir - Herman Richirstraat",M
"Rue Victor Vanderhoeft - Victor Vanderhoeftstraat",M
"Rue Jean-Baptiste Brems - Jean-Baptiste Bremsstraat",M
"Rue Julius Hoste - Julius Hostestraat",M
"Avenue Charles Gilisquet - Charles Gilisquetlaan",M
"Rue Adolphe Marbotin - Adolphe Marbotinstraat",M
"Rue Arthur Roland - Arthur Rolandstraat",M
"Rue Pierre Theunis - Pierre Theunisstraat",M
"Avenue Gustave Latinis - Gustave Latinislaan",M
"Rue Godefroid Guffens - Godefroid Guffensstraat",M
"Avenue Britsiers - Britsierslaan",M
"Rue Caporal Claes - Korporaal Claesstraat",M
"Rue Camille Wollès - Camille Wollèsstraat",M
"Rue Paul Leduc - Paul Leducstraat",M
"Avenue Fortin - Fortinlaan",M
"Boulevard Léopold III - Leopold III-laan",M
"Rue Henri Chomé - Henri Choméstraat",M
"Rue Jul Merckaert - Jul Merckaertstraat",M
"Rue Louis Socquet - Louis Socquetstraat",M
"Rue Paul Hymans - Paul Hymansstraat",M
"Rue Louis Titz - Louis Titzstraat",M
"Boulevard Auguste Reyers - Auguste Reyerslaan",M
"Clos Jean Van Ryn - Jean Van Ryngaarde",M
"Clos André Lagasse - André Lagassegaarde",M
"Clos André Rappe - André Rappegaarde",M
"Clos Marcel Fonteyne - Marcel Fonteynegaarde",M
"Rue Konkel - Konkelstraat",M
"Avenue Louis Jasmin - Louis Jasminlaan",M
"Mont Saint-Lambert - Sint-Lambertusberg",M
"Rue André Crabbe - André Crabbestraat",M
"Rue Fabry - Fabrystraat",M
"Rue Franz Gailliard - Franz Gailliardstraat",M
"Rue Renier Chalon - Renier Chalonstraat",M
"Rue Abbé Cuypers - Priester Cuypersstraat",M
"Cours Saint-Michel - Sint-Michielswarande",M
"Boulevard Général Wahis - Generaal Wahislaan",M
"Boulevard Lambermont - Lambermontlaan",M
"Rue Colonel Bourg - Kolonel Bourgstraat",M
"Avenue Léon Grosjean - Léon Grosjeanlaan",M
"Rue Hugo Verriest - Hugo Verrieststraat",M
"Avenue Léonard Mommaerts - Léonard Mommaertslaan",M
"Rue Jacques Boon - Jacques Boonstraat",M
"Rue Arthur Dehem - Arthur Dehemstraat",M
"Rue Hector Genard - Hector Genardstraat",M
"Rue Paul Bossu - Paul Bossustraat",M
"Rue Colonel Van Gele - Kolonel Van Gelestraat",M
"Place Saint-Pierre - Sint-Pietersplein",M
"Rue Général Tombeur - Generaal Tombeurstraat",M
"Rue Jean Massart - Jean Massartstraat",M
"Rue Léon Scampart - Léon Scampartstraat",M
"Avenue Edouard de Thibault - Edouard de Thibaultlaan",M
"Rue Bruylants - Bruylantsstraat",M
"Rue César Franck - César Franckstraat",M
"Avenue Palmerston - Palmerstonlaan",M
"Rue Boduognat - Boduognatstraat",M
"Rue Charles Martel - Karel Martelstraat",M
"Square Ambiorix - Ambiorixsquare",M
"Rue du Cardinal - Kardinaalstraat",M
"Rue Saint-Quentin - Saint-Quentinstraat",M
"Rue du Taciturne - Willem de Zwijgerstraat",M
"Rue Général Henry - Generaal Henrystraat",M
"Avenue Alexandre Galopin - Alexandre Galopinlaan",M
"Rue Général Molitor - Generaal Molitorstraat",M
"Rue Guillaume Van Laethem - Guillaume Van Laethemstraat",M
"Rue Saint-Joseph - Sint-Jozefstraat",M
"Place Jean de Paduwa - Jean de Paduwaplein",M
"Rue Georges De Lombaerde - Georges De Lombaerdestraat",M
"Allée Paul Ooghe - Paul Ooghedreef",M
"Rue Pierre Schlosser - Pierre Schlosserstraat",M
"Square Jean Hayet - Jean Hayetsquare",M
"Rue James Cook - James Cookstraat",M
"Avenue Eugène Baie - Eugène Baielaan",M
"Avenue Cicéron - Cicerolaan",M
"Avenue Platon - Platolaan",M
"Avenue François Villon - François Villonlaan",M
"Avenue Auguste Vermeylen - Auguste Vermeylenlaan",M
"Rue Frans Hals - Frans Halsstraat",M
"Avenue Franz Guillaume - Franz Guillaumelaan",M
"Avenue Henry Dunant - Henry Dunantlaan",M
"Rue Newton - Newtonstraat",M
"Rue Pierre Dupont - Pieter Dupontstraat",M
"Clos Pierre Dupont - Pierre Dupontgaarde",M
"Rue Fulton - Fultonstraat",M
"Rue Le Tintoret - Tintorettostraat",M
"Rue Le Titien - Titiaanstraat",M
"Rue Véronèse - Veronesestraat",M
"Rue Le Corrège - Corregiostraat",M
"Avenue Constant Permeke - Constant Permekelaan",M
"Rue Edgar Degas - Edgar Degasstraat",M
"Rue Auguste Renoir - Auguste Renoirstraat",M
"Rue Fernand Léger - Fernand Légerstraat",M
"Rue René Magritte - René Magrittestraat",M
"Rue Paul Gauguin - Paul Gauguinstraat",M
"Rue Maurice Utrillo - Maurice Utrillostraat",M
"Avenue Vincent Van Gogh - Vincent Van Goghlaan",M
"Avenue Jules Bordet - Jules Bordetlaan",M
"Avenue Michel-Ange - Michel Angelolaan",M
"Rue Franklin - Franklinstraat",M
"Rue Jan Van Ruusbroeck - Jan Van Ruusbroeckstraat",M
"Avenue Henri Conscience - Hendrik Consciencelaan",M
"Rue Stevin - Stevinstraat",M
"Avenue René Piret - René Piretlaan",M
"Promenade Hippolyte Rolin - Hippolyte Rolinpromenade",M
"Rue Baron Dhanis - Baron Dhanisstraat",M
"Rue Léon Defosset - Léon Defossetstraat",M
"Rue Commandant Ponthier - Kommandant Ponthierstraat",M
"Rue Camille Coquilhat - Camille Coquilhatstraat",M
"Rue Lieutenant Jérôme Becker - Luitenant Jérôme Beckerstraat",M
"Rue Lieutenant Lippens - Luitenant Lippensstraat",M
"Place Aimé Dandoy - Aimé Dandoyplein",M
"Avenue Le Marinel - Le Marinellaan",M
"Avenue Camille Joset - Camille Josetlaan",M
"Boulevard Louis Schmidt - Louis Schmidtlaan",M
"Avenue Hansen-Soulie - Hansen-Soulielaan",M
"Place du Roi Vainqueur - Koning Overwinnaarplein",M
"Rue Aviateur Thieffry - Vlieger Thieffrystraat",M
"Rue Capitaine Joubert - Kapitein Joubertstraat",M
"Rue Cardinal Lavigerie - Kardinaal Lavigeriestraat",M
"Rue Major Pétillon - Majoor Pétillonstraat",M
"Rue Van Campenhout - Van Campenhoutstraat",M
"Avenue Commandant Lothaire - Kommandant Lothairelaan",M
"Rue Baron de Castro - Baron de Castrostraat",M
"Avenue Boileau - Boileaulaan",M
"Avenue Edmond Mesens - Edmond Mesenslaan",M
"Avenue Joseph Vandersmissen - Joseph Vandersmissenlaan",M
"Avenue Édouard Lacomblé - Édouard Lacomblélaan",M
"Avenue Nestor Plissart - Nestor Plissartlaan",M
"Rue Charles De Buck - Charles De Buckstraat",M
"Rue Père Eudore Devroye - Pater Eudore Devroyestraat",M
"Boulevard Saint-Michel - Sint-Michielslaan",M
"Rue Père de Deken - Pater de Dekenstraat",M
"Rue Charles Legrelle - Charles Legrellestraat",M
"Avenue Henri Dietrich - Henri Dietrichlaan",M
"Rue Bâtonnier Braffort - Stafhouder Braffortstraat",M
"Rue Robert Buyck - Robert Buyckstraat",M
"Place Bizet - Bizetplein",M
"Rue Auguste De Boeck - August De Boeckstraat",M
"Rue Henri Deleers - Henri Deleersstraat",M
"Rue Félix De Cuyper - Félix De Cuyperstraat",M
"Rue Godefroid Kurth - Godfroid Kurthstraat",M
"Avenue Frans van Kalken - Frans van Kalkenlaan",M
"Rue Jean-Baptiste Mosselmans - Jan-Baptist Mosselmansstraat",M
"Rue Jacques Houtmeyers - Jaak Houtmeyersstraat",M
"Rue Florimond De Pauw - Florimond De Pauwstraat",M
"Rue Adolphe De Brandt - Adolf De Brandtstraat",M
"Rue Gérard - Gérardstraat",M
"Rue Charles Degroux - Charles Degrouxstraat",M
"Square Jules de Burlet - Jules de Burletplein",M
"Rue Henri de Braeckeleer - Henri de Braeckeleerstraat",M
"Rue Léon de Lantsheere - Léon de Lantsheerestraat",M
"Rue d'Oultremont - d'Oultremontstraat",M
"Avenue François Folie - François Folielaan",M
"Avenue Georges Lecointe - Georges Lecointelaan",M
"Avenue Jean et Pierre Carsoel - Jean en Pierre Carsoellaan",M
"Avenue Louis Thévenet - Louis Thévenetlaan",M
"Clos du Drossart - Drossaardgaarde",M
"Rue Colonel Chaltin - Kolonel Chaltinstraat",M
"Avenue Vanderaey - Vanderaeylaan",M
"Rue Henri Van Zuylen - Henri Van Zuylenstraat",M
"Rue Belliard - Belliardstraat",M
"Rue Breydel - Breydelstraat",M
"Rond-Point Robert Schuman - Robert Schumanplein",M
"Avenue Guillaume Stassart - Guillaume Stassartlaan",M
"Rue Fridtjof Nansen - Fridtjof Nansenstraat",M
"Rue Jean Noté - Jean Notéstraat",M
"Rue Docteur Roux - Dokter Rouxstraat",M
"Rue Claude Debussy - Claude Debussystraat",M
"Rue Félicien Rops - Félicien Ropsstraat",M
"Rue Jacques de Lalaing - Jacques de Lalaingstraat",M
"Square Frère-Orban - Frère-Orbansquare",M
"Rue Guimard - Guimardstraat",M
"Rue Vandenbroeck - Vandenbroeckstraat",M
"Rue Limauge - Limaugestraat",M
"Rue Jenner - Jennerstraat",M
"Rue Vautier - Vautierstraat",M
"Rue Wiertz - Wiertzstraat",M
"Rue Godecharle - Godecharlestraat",M
"Rue Montoyer - Montoyerstraat",M
"Rue Caroly - Carolystraat",M
"Square de Meeûs - de Meeûssquare",M
"Rue Major René Dubreucq - Majoor René Dubreucqstraat",M
"Rue Francart - Francartstraat",M
"Rue Ernest Solvay - Ernest Solvaystraat",M
"Rue Jules Bouillon - Jules Bouillonstraat",M
"Boulevard Maurice Carême - Maurice Carêmelaan",M
"Boulevard Théo Lambert - Théo Lambertlaan",M
"Boulevard Aristide Briand - Aristide Briandlaan",M
"Place Verdi - Verdiplein",M
"Avenue Docteur Zamenhof - Dokter Zamenhoflaan",M
"Place Fernand Cocq - Fernand Cocqplein",M
"Avenue Victor Olivier - Victor Olivierlaan",M
"Rue François Gérard - François Gérardstraat",M
"Rue François Ysewyn - François Ysewynstraat",M
"Rue Professeur Hendrickx - Professor Hendrickxstraat",M
"Rue Pierre Marchant - Pierre Marchantstraat",M
"Rue Georges Lorand - Georges Lorandstraat",M
"Rue Goffart - Goffartstraat",M
"Rue Maes - Maesstraat",M
"Rue Jean Van Volsem - Jean Van Volsemstraat",M
"Place Henri Conscience - Hendrik Conscienceplein",M
"Rue Scarron - Scarronstraat",M
"Place Raymond Blyckaerts - Raymond Blyckaertsplein",M
"Avenue Eugène Ysaye - Eugène Ysayelaan",M
"Square Frans Hals - Frans Halssquare",M
"Rue Guillaume Lekeu - Guillaume Lekeustraat",M
"Rue Chopin - Chopinstraat",M
"Rue Louis van Beethoven - Louis van Beethovenstraat",M
"Rue Antoine Nys - Antoine Nysstraat",M
"Avenue Marius Renard - Marius Renardlaan",M
"Place Martin Luther King - Martin Luther Kingplein",M
"Boulevard Joseph Bracops - Joseph Bracopslaan",M
"Avenue Jean Sibélius - Jean Sibéliuslaan",M
"Rue Capitaine Crespel - Kapitein Crespelstraat",M
"Rue Wéry - Wérystraat",M
"Avenue du Roi-Soldat - Koning-Soldaatlaan",M
"Avenue Charles De Tollenaere - Charles De Tollenaerelaan",M
"Square Victor Voets - Victor Voetssquare",M
"Rue Kerckx - Kerckxstraat",M
"Rue Dillens - Dillensstraat",M
"Place Eugène Flagey - Eugène Flageyplein",M
"Rue Pierre Longin - Pierre Longinstraat",M
"Avenue Romain Rolland - Romain Rollandlaan",M
"Rue Jean Baptiste François Denys - Jean Baptiste François Denysstraat",M
"Avenue Capitaine Fossoul - Kapitein Fossoullaan",M
"Avenue Pierre Beyst - Pierre Beystlaan",M
"Avenue Franklin Roosevelt - Franklin Rooseveltlaan",M
"Rue Félix Bovie - Félix Boviestraat",M
"Rue Alphonse De Witte - Alphonse De Wittestraat",M
"Rue Lanfray - Lanfraystraat",M
"Rue Jean Paquot - Jean Paquotstraat",M
"Rue Alfred Giron - Alfred Gironstraat",M
"Rue Alphonse Hottat - Alphonse Hottatstraat",M
"Rue Antoine Labarre - Antoine Labarrestraat",M
"Rue Borrens - Borrensstraat",M
"Avenue Auguste Rodin - Auguste Rodinlaan",M
"Place Adolphe Sax - Adolphe Saxplein",M
"Avenue Hergé - Hergélaan",M
"Rue Adolphe Mathieu - Adolphe Mathieustraat",M
"Avenue Guillaume Macau - Guillaume Macaulaan",M
"Rue Guillaume Stocq - Guillaume Stocqstraat",M
"Rue Victor Greyson - Victor Greysonstraat",M
"Rue Général Thys - Generaal Thysstraat",M
"Avenue Arnaud Fraiteur - Arnaud Fraiteurlaan",M
"Rue Eugène Cattoir - Eugène Cattoirstraat",M
"Rue Alphonse Renard - Alphonse Renardstraat",M
"Rue Camille Lemonnier - Camille Lemonnierstraat",M
"Avenue Louis Lepoutre - Louis Lepoutrelaan",M
"Rue Émile Bouilliot - Émile Bouilliotstraat",M
"Rue Émile Banning - Émile Banningstraat",M
"Avenue Gounod - Gounodlaan",M
"Rue Edgar Tinel - Edgar Tinelstraat",M
"Rue Henri Vieuxtemps - Henri Vieuxtempsstraat",M
"Rue Lieutenant Liedel - Luitenant Liedelstraat",M
"Rue Théodore Bekaert - Théodore Bekaertstraat",M
"Rue Victor Rauter - Victor Rauterstraat",M
"Avenue Adolphe Buyl - Adolphe Buyllaan",M
"Avenue Général Médecin Derache - Generaal Geneesheer Derachelaan",M
"Rue Félix Waefelaer - Félix Waefelaerstraat",M
"Avenue Émile de Beco - Émile de Becolaan",M
"Rue Léon Cuissez - Léon Cuissezstraat",M
"Rue Gustave Biot - Gustave Biotstraat",M
"Rue Augustin Delporte - Augustin Delportestraat",M
"Rue François Roffiaen - François Roffiaenstraat",M
"Rue Fritz Toussaint - Fritz Toussaintstraat",M
"Rue Henri Marichal - Henri Marichalstraat",M
"Avenue Géo Bernier - Géo Bernierlaan",M
"Avenue Émile Duray - Émile Duraylaan",M
"Rue Calvin - Calvijnstraat",M
"Rue Luther - Lutherstraat",M
"Rue Charles Quint - Keizer Karelstraat",M
"Boulevard Clovis - Clovislaan",M
"Rue John Waterloo Wilson - John Waterloo Wilsonstraat",M
"Avenue Brillat-Savarin - Brillat-Savarinlaan",M
"Avenue Armand Huysmans - Armand Huysmanslaan",M
"Square Robert Goldschmidt - Robert Goldschmidtsquare",M
"Rue Jean Vandeuren - Jean Vandeurenstraat",M
"Rue Léopold Delbove - Léopold Delbovestraat",M
"Rue François Dons - François Donsstraat",M
"Square Valère-Gille - Valère-Gillesquare",M
"Avenue Guillaume Gilbert - Guillaume Gilbertlaan",M
"Avenue Général Dossin de Saint-Georges - Generaal Dossin de Saint-Georgeslaan",M
"Rue Victor Semet - Victor Semetstraat",M
"Rue Simonau - Simonaustraat",M
"Avenue George Bergmann - George Bergmannlaan",M
"Rue Louis Ernotte - Louis Ernottestraat",M
"Avenue du Général de Gaulle - Generaal de Gaullelaan",M
"Rue Vilain XIIII - Vilain XIIII-straat",M
"Rue Lannoy - Lannoystraat",M
"Rue de Stassart - de Stassartstraat",M
"Rue du Prince Albert - Prins Albertstraat",M
"Rue Isidore Verheyden - Isidore Verheydenstraat",M
"Rue Jean d'Ardenne - Jean d'Ardennestraat",M
"Rue Rouen-Bovie - Rouen Boviestraat",M
"Place Houwaert - Houwaertplein",M
"Rue de Hennin - de Henninstraat",M
"Rue Paul Spaak - Paul Spaakstraat",M
"Rue Charles Decoster - Charles Decosterstraat",M
"Rue Van Elewyck - Van Elewyckstraat",M
"Rue Lesbroussart - Lesbroussartstraat",M
"Rue Lens - Lensstraat",M
"Rue Dautzenberg - Dautzenbergstraat",M
"Rue Gachard - Gachardstraat",M
"Square Camille Paulsen - Camille Paulsensquare",M
"Rue Pol Stoppelaere - Pol Stoppelaerestraat",M
"Rue Elskamp - Elskampstraat",M
"Rue Henri Maes - Henri Maesstraat",M
"Rue Adolphe Prins - Adolphe Prinsstraat",M
"Rue Karel Vande Woestijne - Karel Vande Woestijnestraat",M
"Rue Pierre Biddaer - Pierre Biddaerstraat",M
"Avenue Vital Riethuisen - Vital Riethuisenlaan",M
"Avenue du Duc Jean - Hertog Janlaan",M
"Rue Pangaert - Pangaertstraat",M
"Rue Georges Simpson - Georges Simpsonstraat",M
"Rue Louis Delhove - Louis Delhovestraat",M
"Rue Joseph Verhasselt - Joseph Verhasseltstraat",M
"Rue Albert Lacroix - Albert Lacroixstraat",M
"Rue Frans Vervaeck - Frans Vervaeckstraat",M
"Rue Richard Braibant - Richard Braibantstraat",M
"Rue Jean-Baptiste Van Pagé - Jean-Baptiste Van Pagéstraat",M
"Avenue Georges Leclercq - Georges Leclercqlaan",M
"Rue Joseph Druez - Joseph Druezstraat",M
"Rue Léon Matheys - Léon Matheysstraat",M
"Rue Guy Mottard - Guy Mottardstraat",M
"Rue Jean De Greef - Jean De Greefstraat",M
"Clos Saint-Martin - Sint-Martinusgaarde",M
"Avenue Louis De Brouckère - Louis De Brouckèrelaan",M
"Avenue Pieter Goedefroy - Pieter Goedefroylaan",M
"Rue Charles Moens - Charles Moensstraat",M
"Rue Henri Meuwis - Henri Meuwisstraat",M
"Place Guido Gezelle - Guido Gezelleplein",M
"Avenue Mathieu De Jonge - Mathieu De Jongelaan",M
"Avenue Beethoven - Beethovenlaan",M
"Avenue Verdi - Verdilaan",M
"Avenue Richard Mazza - Richard Mazzalaan",M
"Avenue Henri Feuillien - Henri Feuillienlaan",M
"Avenue Joseph Peereboom - Joseph Peereboomlaan",M
"Rue Laurent Heirbaut - Laurent Heirbautstraat",M
"Rue Oscar Maesschalck - Oscar Maesschalckstraat",M
"Rue Alphonse et Maurice Hellinckx - Alphonse en Maurice Hellinckxstraat",M
"Rue Sergent Sorensen - Sergeant Sorensenstraat",M
"Rue Roger Abeels - Roger Abeelsstraat",M
"Rue Auguste De Cock - Auguste De Cockstraat",M
"Rue François Beeckmans - François Beeckmansstraat",M
"Rue Alfred Doulceron - Alfred Doulceronstraat",M
"Rue Albert De Bast - Albert De Baststraat",M
"Rue Maurice Xhoneux - Maurice Xhoneuxstraat",M
"Clos Willy Chambon - Willy Chambongaarde",M
"Clos Louis Banken - Louis Bankengaarde",M
"Clos Joseph Hendrickx - Joseph Hendrickxgaarde",M
"Rue Nestor Martin - Nestor Martinstraat",M
"Avenue de Rusatira - Rusatiralaan",M
"Venelle Mozart - Mozartsteeg",M
"Venelle Schubert - Schubertsteeg",M
"Venelle Chopin - Chopinsteeg",M
"Venelle Vivaldi - Vivaldisteeg",M
"Avenue Jean Sebastien Bach - Johann Sebastian Bachlaan",M
"Rue Léopold Demesmaeker - Léopold Demesmaekerstraat",M
"Rue Victor Lowet - Victor Lowetstraat",M
"Avenue Maxe Smal - Maxe Smallaan",M
"Clos Jacques Wagner - Jacques Wagnergaarde",M
"Clos Edgard Neuberger - Edgard Neubergergaarde",M
"Rue Karel Mertens - Karel Mertensstraat",M
"Rue Adolphe Roobaert - Adolphe Roobaertstraat",M
"Rue Georges Leclercq - Georges Leclercqstraat",M
"Rue De Neck - De Neckstraat",M
"Place Eugène Simonis - Eugène Simonisplein",M
"Rue Léon Fourez - Léon Fourezstraat",M
"Boulevard Léopold II - Leopold II-laan",M
"Rue Houzeau de Lehaie - Houzeau de Lehaiestraat",M
"Rue Deschampheleer - Deschampheleerstraat",M
"Rue Saint-Julien - Sint-Juliaanstraat",M
"Rue Emile Sergijsels - Emile Sergijselsstraat",M
"Rue François Delcoigne - François Delcoignestraat",M
"Rue Van Hoegaerde - Van Hoegaerdestraat",M
"Rue Jean Preckher - Jean Preckherstraat",M
"Rue Schmitz - Schmitzstraat",M
"Rue Antoine Court - Antoine Courtstraat",M
"Rue Jean Jacquet - Jean Jacquetstraat",M
"Rue Philippe Piermez - Philippe Piermezstraat",M
"Rue François Hellinckx - François Hellinckxstraat",M
"Rue Stepman - Stepmanstraat",M
"Rue Léon Autrique - Léon Autriquestraat",M
"Rue Jules Debecker - Jules Debeckerstraat",M
"Rue Albert Dillie - Albert Dilliestraat",M
"Place Henri Vanhuffel - Henri Vanhuffelplein",M
"Rue Van Bergen - Van Bergenstraat",M
"Rue Félix Vande Sande - Félix Vande Sandestraat",M
"Square Félix Vande Sande - Félix Vande Sandesquare",M
"Rue Jules Besme - Jules Besmestraat",M
"Avenue Seghers - Segherslaan",M
"Boulevard Louis Mettewie - Louis Mettewielaan",M
"Avenue Émile Bossaert - Émile Bossaertlaan",M
"Rue Saint-Denis - Sint-Denijsstraat",M
"Avenue Théo Verbeeck - Théo Verbeecklaan",M
"Avenue François Sebrechts - François Sebrechtslaan",M
"Rue M. L. Uytroever - M. L. Uytroeverstraat",M
"Rue Omer Lepreux - Omer Lepreuxstraat",M
"Rue Emile Deroover - Emile Derooverstraat",M
"Avenue Georges Petre - Georges Petrelaan",M
"Rue Eeckelaers - Eeckelaersstraat",M
"Rue Joseph Dekeyn - Joseph Dekeynstraat",M
"Rue Vanderhoeven - Vanderhoevenstraat",M
"Rue Wauwermans - Wauwermansstraat",M
"Avenue Jottrand - Jottrandlaan",M
"Rue Braemt - Braemtstraat",M
"Rue de Liedekerke - de Liedekerkestraat",M
"Square Armand Steurs - Armand Steurssquare",M
"Rue Bonneels - Bonneelsstraat",M
"Rue Willems - Willemsstraat",M
"Rue de Bruyn - de Bruynstraat",M
"Place Saint-Josse - Sint-Joostplein",M
"Rue Amédée Lynen - Amédée Lynenstraat",M
"Rue Charles VI - Karel VI-straat",M
"Rue de Bériot - De Bériotstraat",M
"Rue Scailquin - Scailquinstraat",M
"Place Quetelet - Queteletplein",M
"Avenue Galilée - Galileelaan",M
"Rue Brialmont - Brialmontstraat",M
"Rue Gillon - Gillonstraat",M
"Rue Tiberghien - Tiberghienstraat",M
"Rue Georges Remy - Georges Remystraat",M
"Avenue Josse Goffin - Josse Goffinlaan",M
"Rue Hubert Heymans - Hubert Heymansstraat",M
"Rue Joseph II - Jozef II-straat",M
"Rue Egide Winteroy - Egide Winteroystraat",M
"Rue Auguste Van Zande - Auguste Van Zandestraat",M
"Rue Rembrandt - Rembrandtstraat",M
"Avenue Paul Janson - Paul Jansonlaan",M
"Rue Joseph Genot - Joseph Genotstraat",M
"Rue Wappers - Wappersstraat",M
"Rue Docteur Jacobs - Dokter Jacobsstraat",M
"Avenue Victor et Jules Bertaux - Victor en Jules Bertauxlaan",M
"Rue Hobbema - Hobbemastraat",M
"Rue Van Ostade - Van Ostadestraat",M
"Rue Leys - Leystraat",M
"Rue Murillo - Murillostraat",M
"Rue Georges Matheus - Georges Matheusstraat",M
"Boulevard Saint-Lazare - Sint-Lazaruslaan",M
"Rue Musin - Musinstraat",M
"Rue Saint-François - Sint-Franciscusstraat",M
"Rue Coenraets - Coenraetsstraat",M
"Parc Jean Monnet - Jean Monnetpark",M
"Avenue des Frères Becqué - Gebroeders Becquélaan",M
"Avenue de Selliers de Moranville - de Selliers de Moranvillelaan",M
"Avenue Eugène Godaux - Eugène Godauxlaan",M
"Rue René Henry - René Henrystraat",M
"Rue Emile Versé - Emile Verséstraat",M
"Rue Alphonse Demunter - Alphonse Demunterstraat",M
"Avenue du Roi Albert - Koning Albertlaan",M
"Rue Hubert Blauwet - Hubert Blauwetstraat",M
"Place Docteur Schweitzer - Dokter Schweitzerplein",M
"Rue Auguste Denie - Auguste Deniestraat",M
"Rue Michel Van Nieuwenborgh - Michel Van Nieuwenborghstraat",M
"Rue Louis De Smet - Louis De Smetstraat",M
"Rue Louis Braille - Louis Braillestraat",M
"Rue Emile Heylens - Emile Heylensstraat",M
"Rue Ferdinand Elbers - Ferdinand Elbersstraat",M
"Rue Fik Guidon - Fik Guidonstraat",M
"Avenue Évariste De Meersman - Évariste De Meersmanlaan",M
