streetname,gender
"Rue Yvonne Jospa - Yvonne Jospastraat",F
"Avenue Jacqueline Harpman - Jacqueline Harpmanlaan",F
"Avenue Simone Veil - Simone Veillaan",F
"Rue Virginie Plas - Virginie Plasstraat",F
"Allée Maud Frère - Maud Frèredreef",F
"Passage Simone Signoret - Simone Signoretdoorgang",F
"Allée Suzanne Cocq - Suzanne Cocqdreef",F
"Allée Irène Vanderlinden - Irène Vanderlindendreef",F
"Allée Louisa Haerens - Louisa Haerensdreef",F
"Allée Estelle Juste - Estelle Justedreef",F
"Place Jo Cox - Jo Coxplein",F
"Clos Andrée Dumont -  Andrée Dumontgaarde",F
"Clos Andrée De Jongh - Andrée de Jonghgaarde",F
"Rue Andrée de Jongh - Andrée de Jonghstraat",F
"Rue Yvonne Nèvejean - Yvonne Nèvejeanstraat",F
"Pont Suzan Daniel - Suzan Danielbrug",F
"Rue Eliane Vogel-Polsky - Eliane Vogel-Polskystraat",F
"Square Vergote - Vergotesquare",M
"Rue Jules Lebrun - Jules Lebrunstraat",M
"Rue Van Dyck - Van Dyckstraat",M
"Rue Jean-Baptiste Serkeyn - Jean-Baptiste Serkeynstraat",M
"Rue Honoré Longtin - Honoré Longtinstraat",M
"Avenue Carton de Wiart - Carton de Wiartlaan",M
"Place Philippe Werrie - Philippe Werrieplein",M
"Avenue Broustin - Broustinlaan",M
"Rue Vanderborght - Vanderborghtstraat",M
"Avenue Jacques Sermon - Jacques Sermonlaan",M
"Avenue Giele - Gielelaan",M
"Rue de Moranville - de Moranvillestraat",M
"Rue Herrewege - Herrewegestraat",M
"Avenue Odon Warland - Odon Warlandlaan",M
"Rue Aloïs Verstraeten - Aloïs Verstraetenstraat",M
"Avenue Démosthène Poplimont - Démosthène Poplimontlaan",M
"Rue Prince Baudouin - Prins Boudewijnstraat",M
"Rue Jacques Vandervleet - Jacques Vandervleetstraat",M
"Avenue Firmin Lecharlier - Firmin Lecharlierlaan",M
"Avenue Paul De Merten - Paul De Mertenlaan",M
"Rue François Stroobant - François Stroobantstraat",M
"Boulevard de Smet de Naeyer - de Smet de Naeyerlaan",M
"Rue Pierre Timmermans - Pierre Timmermansstraat",M
"Avenue Albert De Coster - Albert De Costerlaan",M
"Rue Léopold Procureur - Léopold Procureurstraat",M
"Rue Docteur Huet - Dokter Huetstraat",M
"Avenue Camille Vaneukem - Camille Vaneukemlaan",M
"Avenue Général Lartigue - Generaal Lartiguelaan",M
"Rue Georges Rency - Georges Rencystraat",M
"Rue Léon Dopéré - Léon Dopéréstraat",M
"Rue Brunard - Brunardstraat",M
"Rue Stanislas Legrelle - Stanislas Legrellestraat",M
"Avenue Joseph Vanhellemont - Joseph Vanhellemontlaan",M
"Rue Eugène Toussaint - Eugène Toussaintstraat",M
"Rue Hubert Van Eepoel - Hubert Van Eepoelstraat",M
"Rue Henri Huybreghts - Henri Huybreghtsstraat",M
"Rue Gaston Biernaux - Gaston Biernauxstraat",M
"Rue Abbé Victor de Sloover - Priester Victor de Slooverstraat",M
"Rue Abbé Paul Le Roux - Priester Paul Le Rouxstraat",M
"Rue Léon Theodor - Léon Theodorstraat",M
"Rue Léopold I - Leopold I straat",M
"Avenue Charles Woeste - Charles Woestelaan",M
"Rue Saint-Henri - Sint-Hendrikstraat",M
"Parvis Saint-Henri - Sint-Hendriksvoorplein",M
"Rue Abbé de l'Epée - Priester de l'Epéestraat",M
"Avenue Albertyn - Albertynlaan",M
"Rue Corneille De Clercq - Corneille De Clercqstraat",M
"Rue Edouard Faes - Edouard Faesstraat",M
"Rue Fernand Pire - Fernand Pirestraat",M
"Rue Paul Michiels - Paul Michielsstraat",M
"Rue Auguste Hainaut - Auguste Hainautstraat",M
"Rue Baron de Laveleye - Baron de Laveleyestraat",M
"Rue Van Swae - Van Swaestraat",M
"Rue Josse De Boeck - Josse De Boeckstraat",M
"Rue Steppé - Steppéstraat",M
"Rue Ferdinand Lenoir - Ferdinand Lenoirstraat",M
"Rue Pierre De Breuker - Pierre De Breukerstraat",M
"Rue Léopold - Leopoldstraat",M
"Rue Henri Werrie - Henri Werriestraat",M
"Rue Gillebertus - Gillebertusstraat",M
"Place Laneau - Laneauplein",M
"Rue Henri Van Bortonne - Henri Van Bortonnestraat",M
"Rue Gustave Van Huynegem - Gustave Van Huynegemstraat",M
"Rue Adolphe Vandenschrieck - Adolphe Vandenschrieckstraat",M
"Place Cardinal Mercier - Kardinaal Mercierplein",M
"Rue Jean-Baptiste Verbeyst - Jean-Baptiste Verbeyststraat",M
"Rue François Couteaux - François Couteauxstraat",M
"Rue Jules Lahaye - Jules Lahayestraat",M
"Rue Gustave Delathouwer - Gustave Delathouwerstraat",M
"Rue Joseph Loossens - Joseph Loossensstraat",M
"Rue Jacobs Fontaine - Jacobs Fontainestraat",M
"Rue Saint-Norbert - Sint-Norbertusstraat",M
"Rue Duysburgh - Duysburghstraat",M
"Rue Emmanuel Van Driessche - Emmanuel Van Driesschestraat",M
"Rue Fernand Neuray - Fernand Neuraystraat",M
"Rue Pierre Verschelden - Pierre Verscheldenstraat",M
"Rue Ernest Salu - Ernest Salustraat",M
"Rue Gustave Gilson - Gustave Gilsonstraat",M
"Rue Léopold Peret - Leopold Peretstraat",M
"Rue Théophile De Baisieux - Théophile De Baisieuxstraat",M
"Avenue Guillaume De Greef - Guillaume De Greeflaan",M
"Avenue Ernest Masoin - Ernest Masoinlaan",M
"Place Arthur Van Gehuchten - Arthur Van Gehuchtenplein",M
"Square Jules Lorge - Jules Lorgesquare",M
"Rue Dupré - Dupréstraat",M
"Rue Antoine Baeck - Antoine Baeckstraat",M
"Rue Bonaventure - Bonaventurestraat",M
"Rue Valère Broekaert - Valère Broekaertstraat",M
"Rue Frédéric Mohrfeld - Frédéric Mohrfeldstraat",M
"Rue René Reniers - René Reniersstraat",M
"Avenue Capart - Capartlaan",M
"Avenue Henri Liebrecht - Henri Liebrechtlaan",M
"Rue Remy Soetens - Remy Soetensstraat",M
"Rue Eugène De Smet - Eugène De Smetstraat",M
"Rue Guillaume Beliën - Guillaume Beliënstraat",M
"Rue Joseph Schuermans - Joseph Schuermansstraat",M
"Avenue Jaak Pieter Ballings - Jaak Pieter Ballingslaan",M
"Rue Jean Tiebackx - Jan Tiebackxstraat",M
"Rue Alexandre Wouters - Alexandre Woutersstraat",M
"Avenue Jacques Swartenbrouck - Jacques Swartenbroucklaan",M
"Rue Henri Evenepoel - Henri Evenepoelstraat",M
"Rue Jean Baudoux - Jean Baudouxstraat",M
"Avenue Joseph De Heyn - Joseph De Heynlaan",M
"Avenue Stiénon - Stiénonlaan",M
"Rue Corneille Hoornaert - Corneille Hoornaertstraat",M
"Rue Edouard De Grijse - Edouard De Grijsestraat",M
"Avenue Albert Brachet - Albert Brachetlaan",M
"Place Saint-Jean - Sint-Jansplein",M
"Rue Charles Buls - Karel Bulsstraat",M
"Rue Duquesnoy - Duquesnoystraat",M
"Avenue Jean-Baptiste Depaire - Jean-Baptiste Depairelaan",M
"Avenue Maurice Dekeyser - Maurice Dekeyserlaan",M
"Avenue Vincent Vandermaelen - Vincent Vandermaelenlaan",M
"Square Robert Allein - Robert Alleinsquare",M
"Avenue Emile Van Ermengem - Emile Van Ermengemlaan",M
"Avenue Jean Palfyn - Jan Palfynlaan",M
"Clos Joseph Otten - Joseph Ottengaarde",M
"Rue Maurice Van Rolleghem - Maurice Van Rolleghemstraat",M
"Clos Fernand Tonnet - Fernand Tonnetgaarde",M
"Avenue du Bourgmestre Etienne Demunter - Burgemeester Etienne Demunterlaan",M
"Square James Dean - James Deanplein",M
"Avenue du Bourgmestre Jean Neybergh - Burgemeester Jean Neyberghlaan",M
"Chemin Laurence Olivier - Laurence Oliviergaarde",M
"Place Jean Gabin - Jean Gabinplein",M
"Place Jean-Louis Thys - Jean-Louis Thysplaats",M
"Avenue Jan Verdoodt - Jan Verdoodtlaan",M
"Rue Mathieu Pauwels - Mathieu Pauwelsstraat",M
"Avenue Charles-Quint - Keizer Karellaan",M
"Avenue Jean Joseph Crocq - Jean Joseph Crocqlaan",M
"Rue Jean-Baptiste Timmermans - Jean-Baptiste Timmermansstraat",M
"Avenue Georges Henri - Georges Henrilaan",M
"Rue Gaston Coudyser - Gaston Coudyserstraat",M
"Rue Jean Lagey - Jean Lageystraat",M
"Avenue Auguste Bourgeois - Auguste Bourgeoislaan",M
"Rue Léon Nicodème - Léon Nicodèmestraat",M
"Rue Edouard Van Muylders - Edouard Van Muyldersstraat",M
"Avenue Général Bernheim - Generaal Bernheimlaan",M
"Rue Pierre Hap Lemaître - Pierre Hap Lemaîtrestraat",M
"Rue Félix Terlinden - Félix Terlindenstraat",M
"Rue Vergote - Vergotestraat",M
"Avenue Albert Jonnart - Albert Jonnartlaan",M
"Avenue Ernest Cambier - Ernest Cambierlaan",M
"Avenue Emile Max - Emile Maxlaan",M
"Avenue Houzeau - Houzeaulaan",M
"Avenue Chazal - Chazallaan",M
"Avenue Herbert Hoover - Herbert Hooverlaan",M
"Rue Ferdinand Craps - Ferdinand Crapsstraat",M
"Avenue Robert Dalechamp - Robert Dalechamplaan",M
"Avenue Edouard Speeckaert - Edouard Speeckaertlaan",M
"Rue de Gerlache - de Gerlachestraat",M
"Avenue de Broqueville - de Broquevillelaan",M
"Avenue Léon Tombu - Léon Tombulaan",M
"Rue Lieutenant Freddy Wampach - Luitenant Freddy Wampachstraat",M
"Rue Paul Segers - Paul Segersstraat",M
"Rue Paul Devigne - Paul Devignestraat",M
"Rue Henri Stacquet - Henri Stacquetstraat",M
"Avenue Guillaume Lefever - Guillaume Lefeverlaan",M
"Avenue Josse Smets - Josse Smetslaan",M
"Rue de Haerne - de Haernestraat",M
"Rue Théodore Baron - Théodore Baronstraat",M
"Rue Guillaume Demuylder - Guillaume Demuylderstraat",M
"Avenue Guillaume Keyen - Guillaume Keyenlaan",M
"Avenue Victor Jacobs - Victor Jacobslaan",M
"Place Saint-Antoine - Sint-Antoonplein",M
"Rue Alex Marcette - Alex Marcettestraat",M
"Rue Georges et Jacques Martin - Georges en Jacques Martinstraat",M
"Avenue Antoine-Joseph Slegers - Antoine-Joseph Slegerslaan",M
"Avenue Victor Gilsoul - Victor Gilsoullaan",M
"Clos A.J. Slegers - A.J. Slegersgaarde",M
"Rue Nothomb - Nothombstraat",M
"Place Surlet de Chokier - Surlet de Chokierplein",M
"Rue Van Orley - Van Orleystraat",M
"Avenue Louis Gribaumont - Louis Gribaumontlaan",M
"Avenue J.G. Van Goolen - J.G. Van Goolenlaan",M
"Avenue Jean Laudy - Jean Laudylaan",M
"Avenue Michel Sterckmans - Michel Sterckmanslaan",M
"Avenue Jean Roch Collon - Jean Roch Collonlaan",M
"Avenue Edgard Tytgat - Edgard Tytgatlaan",M
"Avenue Guillaume Abeloos - Guillaume Abelooslaan",M
"Boulevard Bischoffsheim - Bischoffsheimlaan",M
"Avenue De Fré - De Frélaan",M
"Square Docteur Jean Joly - Dokter Jean Jolyplein",M
"Avenue Paul Stroobant - Paul Stroobantlaan",M
"Clos Victor Gilsoul - Victor Gilsoulgaarde",M
"Avenue Constant Montald - Constant Montaldlaan",M
"Avenue Henri Pauwels - Henri Pauwelslaan",M
"Avenue Général Bastin - Generaal Bastinlaan",M
"Avenue J. P. Rullens - J. P. Rullenslaan",M
"Avenue Échevin Van Muylders - Schepen Van Muylderslaan",M
"Rue Fernand Mélard - Fernand Mélardstraat",M
"Avenue du Roi Chevalier - Ridder Koninglaan",M
"Avenue Raymond de Meester - Raymond de Meesterlaan",M
"Avenue Alfred Bastien - Alfred Bastienlaan",M
"Avenue Auguste Oleffe - Auguste Oleffelaan",M
"Avenue Louis Clesse - Louis Clesselaan",M
"Avenue Jean Colin - Jean Colinlaan",M
"Rue Guillaume Dekelver - Guillaume Dekelverstraat",M
