Avenue Carton de Wiart,Carton de Wiartlaan,M
Avenue Casalta,Casaltalaan,M
Avenue Cassiopée,Cassiopealaan,F
Avenue Charbo,Charbolaan,M
Avenue Charle-Albert,Charle-Albertlaan,M
Avenue Charles Brassine,Charles Brassinelaan,M
Avenue Charles de Thiennes,Charles de Thienneslaan,M
Avenue Charles De Tollenaere,Charles De Tollenaerelaan,M
Avenue Charles Dierickx,Charles Dierickxlaan,M
Avenue Charles d'Orjo de Marchovelette,Charles d'Orjo de Marchovelettelaan,M
Avenue Charles Gilisquet,Charles Gilisquetlaan,M
Avenue Charles Madoux,Charles Madouxlaan,M
Avenue Charles Michiels,Charles Michielslaan,M
Avenue Charles Plisnier,Charles Plisnierlaan,M
Avenue Charles Schaller,Charles Schallerlaan,M
Avenue Charles Thielemans,Charles Thielemanslaan,M
Avenue Charles Woeste,Charles Woestelaan,M
Avenue Charles-Quint,Keizer Karellaan,M
Avenue Chazal,Chazallaan,M
Avenue Cicéron,Cicerolaan,M
Avenue Clays,Clayslaan,M
Avenue Clemenceau,Clemenceaulaan,M
Avenue Clémentine,Clementinalaan,F
Avenue Coghen,Coghenlaan,M
Avenue Colonel Daumerie,Kolonel Daumerielaan,M
Avenue Colonel Picquart,Kolonel Picquartlaan,M
Avenue Commandant Lothaire,Kommandant Lothairelaan,M
Avenue Commandant Vander Meeren,Commandant Vander Meerenlaan,M
Avenue Constant Montald,Constant Montaldlaan,M
Avenue Constant Permeke,Constant Permekelaan,M
Avenue Crokaert,Crokaertlaan,M
Avenue Dailly,Daillylaan,M
Avenue Daniel Boon,Daniel Boonlaan,M
Avenue de Broqueville,de Broquevillelaan,M
Avenue de Busleyden,de Busleydenlaan,M
Avenue de Castonier,de Castonierlaan,F
Avenue de Cérès,Cereslaan,F
Avenue de Diane,Dianalaan,F
Avenue de Flore,Floralaan,F
Avenue de Foestraets,de Foestraetslaan,M
Avenue De Fré,De Frélaan,M
Avenue de la Princesse Paola,Prinses Paolalaan,F
Avenue de l'Aiglon,Aiglonlaan,M
Avenue de Saint-Job,Sint-Jobselaan,M
Avenue de Selliers de Moranville,de Selliers de Moranvillelaan,M
Avenue de Waha,Wahalaan,M
Avenue Delleur,Delleurlaan,M
Avenue Démosthène Poplimont,Démosthène Poplimontlaan,M
Avenue Denayer,Denayerlaan,M
Avenue des Frères Becqué,Gebroeders Becquélaan,M
Avenue des Frères Goemaere,Gebroeders Goemaerelaan,M
Avenue des Frères Legrain,Gebroeders Legrainlaan,M
Avenue Docteur Decroly,Dokter Decrolylaan,M
Avenue Docteur Dejase,Dokter Dejaselaan,M
Avenue Docteur Edmond Cordier,Dokter Edmond Cordierlaan,M
Avenue Docteur Zamenhof,Dokter Zamenhoflaan,M
Avenue Dolez,Dolezlaan,M
Avenue Don Bosco,Don Boscolaan,M
Avenue d'Orbaix,D'Orbaixlaan,M
Avenue Dr. A. Schweitzer,Dr. A. Schweitzerlaan,M
Avenue du Bourgmestre Etienne Demunter,Burgemeester Etienne Demunterlaan,M
Avenue du Bourgmestre Jean Neybergh,Burgemeester Jean Neyberghlaan,M
Avenue du Compte Moens De Fernig,Graaf Moens De Ferniglaan,M
Avenue du Duc Jean,Hertog Janlaan,M
Avenue du Général de Ceuninck,Generaal de Ceunincklaan,M
Avenue du Général de Gaulle,Generaal de Gaullelaan,M
Avenue du Mahatma Ghandi,Mahatma Gandhilaan,M
Avenue du Prince d'Orange,Prins van Oranjelaan,M
Avenue du Roi Albert,Koning Albertlaan,M
Avenue du Roi Chevalier,Ridder Koninglaan,M
Avenue du Roi-Soldat,Koning-Soldaatlaan,M
Avenue Ducpétiaux,Ducpétiauxlaan,M
Avenue Échevin Van Muylders,Schepen Van Muylderslaan,M
Avenue Edgard Tytgat,Edgard Tytgatlaan,M
Avenue Edmond Candries,Edmond Candrieslaan,M
Avenue Edmond Galoppin,Edmond Galoppinlaan,M
Avenue Edmond Mesens,Edmond Mesenslaan,M
Avenue Edmond Parmentier,Edmond Parmentierlaan,M
