name_fr,name_nl,gender,wikidata,type
"Rue de Louvain",Leuvenseweg,,Q118958,relation
"Rue de Mérode","de Mérodestraat",,Q1568461,relation
"Rue de l'Onyx",Onyxstraat,,Q180884,way
"Rue des Atrébates",Atrebatenstraat,,Q164811,relation
"Rue des Éburons",Eburonenstraat,,Q323500,relation
"Rue des Quatre Fils Aymon",Vierheemskinderenstraat,,Q59212800,relation
"Rue du Parc Elisabeth",Elisabethparkstraat,,Q22443719,relation
"Rue du Zéphyr",Westenwindstraat,,Q467515,relation
"Sentier des Aubépines",Hagedoornpad,,Q132557,way
"Sentier des Lilas",Seringenpad,,Q6565319,way
"Square Apollo",Apollosquare,,Q37340,relation
"Square Lison",Lisonsquare,,Q88583938,relation
"Square Manon",Manonsquare,,Q88583708,relation
"Square Toinon",Toinonsquare,,Q88583488,way
"Square Victoria Régina","Victoria Reginaplantsoen",,Q162070,relation
"Square de Noville",Novillesquare,,Q3247695,relation
"Square de la Madelon",Madelonsquare,,Q88584349,relation
"Venelle de Saint-Job",Sint-Jobsteeg,,Q1927235,way
"Venelle du Boson",Bosonsteeg,,Q43101,way
"'t Hof te Overbeke","'t Hof te Overbeke",,,relation
"36 kV","36 kV",,,way
Abbaye,Abdij,,,relation
"Albert Temmermanstraat","Albert Temmermanstraat",,,way
"Allée Hof ter Vleest","Hof ter Vleestdreef",,,relation
"Allée Verte",Groendreef,,,relation
"Allée de l'Améthyste",Amethistdreef,,,way
"Allée de la Minerva",Minervalei,,,relation
"Allée de la Parade",Paradewandeldreef,,,relation
"Allée de la Recherche",Researchdreef,,,relation
"Allée de la Vénerie",Jagerijdreef,,,way
"Allée des Amazones",Amazonendreef,,,way
"Allée des Arroches",Meldendreef,,,way
"Allée des Blaireaux",Dassendreef,,,way
"Allée des Citronniers",Citroenbomendreef,,,relation
"Allée des Colzas",Sloordelle,,,relation
"Allée des Coursiers",Renpaardendreef,,,way
"Allée des Equipages",Rijtuigendreef,,,way
"Allée des Freesias",Freesiadreef,,,relation
"Allée des Moutons",Schapenweg,,,relation
"Allée des Novateurs",Vernieuwersdreef,,,relation
"Allée des Orpins",Vetkruidweg,,,relation
"Allée des Raisins",Druivenallee,,,way
"Allée du Cloître",Kloosterdreef,,,way
"Allée du Derby",Derbydreef,,,way
"Allée du Hérisson",Egeldreef,,,relation
"Allée du Stade",Stadiondreef,,,way
"Allée du Turf",Turfdreef,,,way
"Allées de Provence",Provencewandelwegen,,,relation
"Allées du Languedoc",Languedocwandelwegen,,,relation
"Altitude Cent","Hoogte Honderd",,,way
"Ancien Dieweg","Oude Dieweg",,,relation
"Ancien Middelweg","Oude Middelweg",,,way
"Ancienne chaussée de Haecht","Oude Haachtsesteenweg",,,relation
"Anspach Shopping","Anspach Shopping",,,way
Antwerpselaan,Antwerpselaan,,,way
"Avenue 's Heren Huys","'s Herenhuislaan",,,way
"Avenue Achille Reisdorff","Achille Reisdorfflaan",,,way
"Avenue Beau-Séjour","Schoon Verblijflaan",,,way
"Avenue Bel-Air","Schoon Uitzichtlaan",,,way
"Avenue Boesdaal",Boesdaallaan,,,way
"Avenue Bois du Dimanche",Zondagboslaan,,,relation
"Avenue Bon Air","Goede Luchtlaan",,,way
"Avenue Buysdelle",Buysdellelaan,,,way
"Avenue Calypso",Calypsolaan,,,way
"Avenue Champ de Repos",Rustplaatslaan,,,relation
"Avenue Chanoine Roose","Kanunnik Rooselaan",,,relation
"Avenue Chantemerle",Chantemerlelaan,,,way
"Avenue Chapelle-aux-Champs",Veldkapellaan,,,way
"Avenue Château de Walzin","Kasteel de Walzinlaan",,,way
"Avenue Circulaire",Ringlaan,,,way
"Avenue Claeterbosch",Klaterboslaan,,,relation
"Avenue Coloniale",Kolonialelaan,,,way
"Avenue De Béjar","De Béjarlaan",,,relation
"Avenue De Gomree","De Gomreelaan",,,relation
"Avenue De Roovere","De Rooverelaan",,,relation
"Avenue De Wavrans","De Wavranslaan",,,relation
"Avenue De Witthem",Witthemlaan,,,relation
"Avenue Den Doorn","Den Doornlaan",,,relation
"Avenue Docteur Lemoine","Dokter Lemoinelaan",,,relation
"Avenue Fond'Roy",Vronerodelaan,,,way
"Avenue Fontaine Vanderstraeten","Fontaine Vanderstraetenlaan",,,way
"Avenue Général De Longueville","Generaal De Longuevillelaan",,,relation
